row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
382,0,0,4700000,3000000,382900,520,1100
383,0,0,2800000,1800000,440200,1000,1200
384,0,0,20500000,3000000,399500,1100,384
385,0,0,2700000,1600000,182600,1500,4500
386,0,0,31200000,3300000,350100,1200,313
387,0,0,199100,2400000,231600,639,2600
388,0,0,17300000,4800000,221200,711,941
389,0,0,17600000,2500000,260600.00000000003,1300,1400
390,0,0,1200000,2600000,144000,1800,2800
391,0,0,6200000,3500000,328500,773,709
392,0,0,15700000,3000000,164100,533,2900
393,0,0,13600000,1900000,376100,452,1900
394,0,0,7900000,1800000,271100,2400,1200
395,0,0,10900000,1900000,242000,2000,1600
396,0,0,7600000,3300000,285600,1400,346
397,0,0,12800000,2800000,258100.00000000003,1300,1000
398,0,0,18900000,2400000,561000,1000,186
399,0,0,4900000,1900000,248700,2400,1100
400,0,0,5500000,4099999.9999999995,212200,736,1100
401,0,0,20400000,2100000,183800,2200,2000
402,0,0,6400000,1800000,325600,1100,1600
403,0,0,11100000,2600000,388300,1200,382
404,0,0,3500000,3900000,270300,1300,252
405,0,0,30300000,2300000,337100,1300,801
406,0,0,176800,1100000,125500,3300,8300
407,0,0,2900000,934200,63900,768,25900
408,0,0,11500000,2300000,198500,1900,1600
409,0,0,3000000,2500000,454100,933,468
410,0,0,14400000,2800000,303000,1400,488
411,0,0,1300000,3400000,418500,857,252
412,0,0,2400000,1600000,207300,2100,2600
413,0,0,15500000,2200000,280800,995,1500
414,0,0,14700000,2300000,346900,1000,926
415,0,0,4800000,1500000,245300,1100,3200
416,0,0,6500000,2100000,381200,960,1000
417,0,0,1700000,1200000,195500,1300,5400
418,0,0,5800000,1900000,308800,1300,1400
419,0,0,16700000,2800000,278900,1300,653
420,0,0,3700000,2200000,205700,3000,346
421,0,0,26800000,2100000,254200,1900,947
422,0,0,2600000,2600000,328900,1300,468
423,0,0,5400000,3300000,467400,450,547
424,0,0,9000000,3500000,443700,604,370
425,0,0,4099999.9999999995,3700000,225400,1000,807
426,0,0,6000000,2100000,287400,883,1600
427,0,0,5100000,3500000,405000,872,176
428,0,0,9400000,2800000,398300,890,438
429,0,0,18000000,2400000,337700,937,889
430,0,0,10600000,1600000,351800,1400,1200
431,0,0,4800000,2200000,145600,2100,2600
432,0,0,10200000,2600000,389500,620,827
433,0,0,4500000,2100000,240400,1500,1400
434,0,0,2500000,3100000,297000,701,868
435,0,0,1500000,2000000,249400,723,2100
436,0,0,2700000,1900000,103100,2500,4800
437,0,0,11300000,2600000,214900,1600,1000
438,0,0,9600000,4600000,332000,0,945
439,0,0,16300000,3500000,335600,484,724
440,0,0,1100000,2900000,217900,1800,410
441,0,0,3300000,2000000,123600,1000,4700
442,0,0,5200000,2500000,267200,1400,730
443,0,0,3500000,1600000,237700,2200,1500
444,0,0,243600,1700000,201400,1200,2900
445,0,0,3000000,1600000,264000,436,3000
446,0,0,3000000,3100000,71500,4200,2100
447,0,0,1400000,1200000,188900,5200,904
448,0,0,958600,1400000,220100,1900,2700
449,0,0,6100000,2100000,365000,1000,749
450,0,0,5400000,2400000,343600,1100,591
451,0,0,2800000,1800000,250600,1300,1800
452,0,0,13800000,2400000,327800,1000,725
453,0,0,2200000,1800000,213400,2600,919
454,0,0,3100000,2600000,392400,1200,161
455,0,0,3400000,2100000,345100,1300,643
456,0,0,8300000.000000001,1300000,208900,2500,2500
457,0,0,8500000,1400000,334200,1600,1300
458,0,0,5900000,1800000,225300,1600,1800
459,0,0,4200000,2200000,249500,340,2100
460,0,0,5100000,1700000,219200,1700,1900
461,0,0,4000000,2400000,150400,2000,1700
462,0,0,7600000,2000000,164100,1600,2500
463,0,0,4000000,2500000,285500,692,1200
464,0,0,1600000,2100000,160700,596,3400
465,0,0,12600000,3600000,194000,1400,504
