444,Samaria,3124000,15000000,3698000,836,33000
445,Ben Palmer,34000000,2000000,3278000,884,27000
446,Ben Orsini ðŸ,5438000,22000000,2933000,28000,718
447,vzelivx,7313000,21000000,2712000,26000,13000
448,CASSY LEGASPI,58000000,37000000,3697000,1000,590
449,KWOOWK,26000000,2000000,2682000,2000,22000
450,AbbieHerbert,138000000,37000000,4007000,917,581
451,ÊŸÊÊÉªááá,12000000,13000000,1657000,17000,86000
452,Mateus Hwang,19000000,19000000,1368000,58000,26000
453,shaggy,168000,12000000,2946000,13000,51000
454,ØÙØÙÙŠÙˆÙÙŠØ,9056000,29000000,1951000,2000,18000
455,bigweirdworld,15000000,11000000,3042000,2000,45000
456,Yurielkys Ojeda ðŸ,148000000,22000000,2773000,13000,23000
457,cemre solmaz,104000000,2000000,137000,62000,17000
458,Arun Maini,15000000,38000000,4475000,964,300
459,Kjsmoothh,25000000,18000000,2544000,29000,18000
460,JuanSGuarnizo,105000000,2000000,3649000,18000,11000
461,Nick Smithyman ðŸ,79000000,22000000,3055000,17000,14000
462,ØØÙØ ØÙŠÙ,17000000,26000000,2239000,16000,2000
463,colegonzales,53000000,29000000,2771000,977,16000
464,La beba,3413000,2000000,2832000,12000,24000
465,KSI,98000000,25000000,1786000,44000,178
466,Alex Ojeda ðŸðŸ,81000000,26000000,2726000,802,22000
467,Jeipy,82000000,17000000,3544000,23000,11000
468,louuuyoung,7097000,8729000,1379000,44000,126000
469,ðŸðŸŒØØÙØØª ØÙˆÙÙˆÙðŸŒðŸ,14000000,43000000,2467000,460,15000
470,ØÙŠÙ ØÙØÙˆØØ,19000000,39000000,1623000,11000,21000
471,Ahmed Ksontini,6433000,21000000,77000,0,126000
472,Mostafa Ashraf,17000000,28000000,268000,12000,15000
473,AriGameplays,232000000,28000000,3207000,14000,867
474,Bela,88000000,27000000,3907000,936,982
475,italosenaoficial,26000000,21000000,1988000,15000,33000
476,Kozue,7000000,26000000,4662000,370,13000
477,RODðŸ ,416000000,2000000,2545000,35000,413
478,Kwes,3779000,16000000,2833000,15000,28000
479,ððƒð ðððð ðŽððð,14000000,24000000,199000,410,37000
480,DRUSKI,37000000,13000000,241000,13000,49000
481,Deâarra Taylor,37000000,25000000,4584000,792,923
482,Briggitte Bozzo,239000000,52000000,3619000,787,245
483,Flavinhalouise,122000000,32000000,1677000,709,28000
484,Pailita,12000000,16000000,2574000,27000,21000
485,KingChristian,172000000,16000000,2997000,28000,13000
486,Mikayla Nogueira,135000000,22000000,3203000,23000,411
487,Mark Phillips,31000000,1000000,2276000,12000,67000
488,Charlie Puth,19000000,2000000,3248000,19000,937
489,BikeDasher,43000000,25000000,398000,15000,407
490,JonataðŸ,59000000,19000000,3196000,646,25000
